size,length,ratio,population,random,num,spend
50,60,0.7,1000,75,9,1.66
50,60,0.7,1000,100,9,1.9
100,48,0.7,100,10,9,0.8
100,48,0.7,100,25,10,0.88
100,48,0.7,100,50,10,1.05
100,48,0.7,100,75,11,1.34
100,48,0.7,100,100,12,1.66
100,48,0.7,250,10,12,0.98
100,48,0.7,250,25,11,1.12
100,48,0.7,250,50,13,1.38
100,48,0.7,250,75,10,1.44
100,48,0.7,250,100,11,1.7
100,48,0.7,500,10,12,1.17
100,48,0.7,500,25,11,1.14
100,48,0.7,500,50,11,1.28
100,48,0.7,500,75,11,1.41
100,48,0.7,500,100,12,1.71
100,48,0.7,750,10,12,1.12
100,48,0.7,750,25,12,1.26
100,48,0.7,750,50,11,1.36
100,48,0.7,750,75,11,1.54
100,48,0.7,750,100,12,1.76
100,48,0.7,1000,10,11,1.03
100,48,0.7,1000,25,12,1.18
100,48,0.7,1000,50,11,1.26
100,48,0.7,1000,75,11,1.45
100,48,0.7,1000,100,11,1.83
100,51,0.7,100,10,8,0.83
100,51,0.7,100,25,9,0.86
100,51,0.7,100,50,11,1.22
100,51,0.7,100,75,9,1.42
100,51,0.7,100,100,11,1.75
100,51,0.7,250,10,8,0.73
100,51,0.7,250,25,10,1.02
100,51,0.7,250,50,10,1.24
100,51,0.7,250,75,12,1.63
100,51,0.7,250,100,12,1.98
100,51,0.7,500,10,11,1.23
100,51,0.7,500,25,10,1.33
100,51,0.7,500,50,11,1.65
100,51,0.7,500,75,11,1.8
100,51,0.7,500,100,13,2.27
100,51,0.7,750,10,10,0.97
100,51,0.7,750,25,11,1.14
100,51,0.7,750,50,12,1.46
100,51,0.7,750,75,12,1.63
100,51,0.7,750,100,12,1.78
100,51,0.7,1000,10,12,1.25
100,51,0.7,1000,25,11,1.21
100,51,0.7,1000,50,11,1.34
100,51,0.7,1000,75,11,1.64
100,51,0.7,1000,100,10,1.81
100,54,0.7,100,10,11,1.18
100,54,0.7,100,25,11,1.24
100,54,0.7,100,50,12,1.47
100,54,0.7,100,75,11,1.73
100,54,0.7,100,100,13,2.17
100,54,0.7,250,10,10,0.93
100,54,0.7,250,25,12,1.41
100,54,0.7,250,50,14,1.88
100,54,0.7,250,75,13,2.08
100,54,0.7,250,100,13,2.23
100,54,0.7,500,10,13,1.41
100,54,0.7,500,25,14,1.65
100,54,0.7,500,50,11,1.5
100,54,0.7,500,75,13,1.92
100,54,0.7,500,100,12,2.29
100,54,0.7,750,10,12,1.26
100,54,0.7,750,25,13,1.68
100,54,0.7,750,50,13,1.81
100,54,0.7,750,75,13,2.03
100,54,0.7,750,100,13,2.21
100,54,0.7,1000,10,15,1.76
100,54,0.7,1000,25,13,1.55
100,54,0.7,1000,50,13,1.79
100,54,0.7,1000,75,13,2.03
100,54,0.7,1000,100,13,2.31
100,57,0.7,100,10,9,0.97
100,57,0.7,100,25,9,1.05
100,57,0.7,100,50,9,1.2
100,57,0.7,100,75,10,1.49
100,57,0.7,100,100,11,1.85
100,57,0.7,250,10,10,0.95
100,57,0.7,250,25,9,1.03
100,57,0.7,250,50,12,1.57
100,57,0.7,250,75,9,1.55
100,57,0.7,250,100,11,1.95
100,57,0.7,500,10,10,1.05
100,57,0.7,500,25,11,1.32
100,57,0.7,500,50,10,1.45
100,57,0.7,500,75,11,1.72
100,57,0.7,500,100,11,1.99
100,57,0.7,750,10,11,1.22
100,57,0.7,750,25,12,1.39
100,57,0.7,750,50,11,1.46
100,57,0.7,750,75,11,1.71
100,57,0.7,750,100,11,1.94
100,57,0.7,1000,10,11,1.23
100,57,0.7,1000,25,12,1.41
100,57,0.7,1000,50,11,1.45
100,57,0.7,1000,75,12,1.76
100,57,0.7,1000,100,11,1.94
100,60,0.7,100,10,8,0.84
100,60,0.7,100,25,8,1.04
100,60,0.7,100,50,10,1.51
100,60,0.7,100,75,9,1.65
100,60,0.7,100,100,9,1.93
100,60,0.7,250,10,9,0.99
100,60,0.7,250,25,11,1.39
100,60,0.7,250,50,9,1.42
100,60,0.7,250,75,10,1.81
100,60,0.7,250,100,9,1.99
100,60,0.7,500,10,10,1.05
100,60,0.7,500,25,10,1.26
100,60,0.7,500,50,10,1.58
100,60,0.7,500,75,11,1.85
100,60,0.7,500,100,11,2.15
100,60,0.7,750,10,10,1.18
100,60,0.7,750,25,10,1.35
100,60,0.7,750,50,10,1.58
100,60,0.7,750,75,10,1.8
100,60,0.7,750,100,10,2.13
100,60,0.7,1000,10,10,1.12
100,60,0.7,1000,25,10,1.37
100,60,0.7,1000,50,11,1.58
100,60,0.7,1000,75,10,1.85
100,60,0.7,1000,100,10,2.13
