junction_length	tpos	cond_pos	cond_all	cond_neg	test_pos	fpos	norm_mini	size_threshold	para_pp	para_pw	sample	radius
3	0	0	0	0	0	0	0.5	1000	350.576	25.46	M2-1	0.5
12	1	1	1	0	1	0	0.5	1000	350.576	25.46	M2-1	0.5
15	0	0	0	0	0	0	0.5	1000	350.576	25.46	M2-1	0.5
24	80	80	17391	17311	132	52	0.5	1000	350.576	25.46	M2-1	0.5
27	58	58	20706	20648	65	7	0.5	1000	350.576	25.46	M2-1	0.5
30	316	317	102831	102514	326	10	0.5	1000	350.576	25.46	M2-1	0.5
33	760	781	571915	571134	808	48	0.5	1000	350.576	25.46	M2-1	0.5
36	1498	1518	1530375	1528857	1574	76	0.5	1000	350.576	25.46	M2-1	0.5
39	13363	13402	4501500	4488098	13413	50	0.5	1000	350.576	25.46	M2-1	0.5
41	0	0	0	0	0	0	0.5	1000	350.576	25.46	M2-1	0.5
42	28567	28588	10010575	9981987	28870	303	0.5	1000	350.576	25.46	M2-1	0.5
43	0	0	1	1	0	0	0.5	1000	350.576	25.46	M2-1	0.5
45	15442	15621	16522626	16507005	15716	274	0.5	1000	350.576	25.46	M2-1	0.5
46	0	0	1	1	0	0	0.5	1000	350.576	25.46	M2-1	0.5
48	32169	32345	24398605	24366260	32337	168	0.5	1000	350.576	25.46	M2-1	0.5
51	13999	14167	23988201	23974034	14263	264	0.5	1000	350.576	25.46	M2-1	0.5
52	0	0	0	0	0	0	0.5	1000	350.576	25.46	M2-1	0.5
54	34036	34863	24217320	24182457	34150	114	0.5	1000	350.576	25.46	M2-1	0.5
55	0	0	0	0	0	0	0.5	1000	350.576	25.46	M2-1	0.5
57	28373	28771	23932821	23904050	29223	850	0.5	1000	350.576	25.46	M2-1	0.5
58	0	0	0	0	0	0	0.5	1000	350.576	25.46	M2-1	0.5
59	0	0	1	1	0	0	0.5	1000	350.576	25.46	M2-1	0.5
60	13993	14059	16869336	16855277	14085	92	0.5	1000	350.576	25.46	M2-1	0.5
61	0	0	0	0	0	0	0.5	1000	350.576	25.46	M2-1	0.5
62	0	0	0	0	0	0	0.5	1000	350.576	25.46	M2-1	0.5
63	19819	19873	11608971	11589098	19881	62	0.5	1000	350.576	25.46	M2-1	0.5
64	0	0	0	0	0	0	0.5	1000	350.576	25.46	M2-1	0.5
66	42509	42563	7755891	7713328	42526	17	0.5	1000	350.576	25.46	M2-1	0.5
68	0	0	0	0	0	0	0.5	1000	350.576	25.46	M2-1	0.5
69	2709	2772	4928230	4925458	2748	39	0.5	1000	350.576	25.46	M2-1	0.5
72	2708	2716	2248260	2245544	2727	19	0.5	1000	350.576	25.46	M2-1	0.5
73	0	0	1	1	0	0	0.5	1000	350.576	25.46	M2-1	0.5
75	166295	166303	2494261	2327958	166300	5	0.5	1000	350.576	25.46	M2-1	0.5
78	606	617	541320	540703	626	20	0.5	1000	350.576	25.46	M2-1	0.5
81	18083	18097	402753	384656	18083	0	0.5	1000	350.576	25.46	M2-1	0.5
84	295	296	95703	95407	295	0	0.5	1000	350.576	25.46	M2-1	0.5
87	93	102	20100	19998	93	0	0.5	1000	350.576	25.46	M2-1	0.5
90	2	2	9045	9043	2	0	0.5	1000	350.576	25.46	M2-1	0.5
6	0	0	0	0	0	0	0.5	1000	353.956	33.798	M5-1	0.5
8	3	6	6	0	3	0	0.5	1000	353.956	33.798	M5-1	0.5
9	28	28	28	0	28	0	0.5	1000	353.956	33.798	M5-1	0.5
