junction_length	tpos	cond_pos	cond_all	cond_neg	test_pos	fpos	norm_mini	size_threshold	cut_off	para_pp	para_pw	radius	sample
33	33957	33984	424581	390597	33957	0	0.6	1000	0.1	13.687	16.987	0.5	M4-1
36	4964	4979	458403	453424	4970	6	0.6	1000	0.1	13.687	16.987	0.5	M4-1
39	216763	234607	6813586	6578979	216763	0	0.6	1000	0.1	13.687	16.987	0.5	M4-1
41	0	0	0	0	0	0	0.6	1000	0.1	13.687	16.987	0.5	M4-1
42	70402	74965	8559453	8484488	71502	1100	0.6	1000	0.1	13.687	16.987	0.5	M4-1
45	263590	274902	18638565	18363663	263601	11	0.6	1000	0.1	13.687	16.987	0.5	M4-1
47	0	0	0	0	0	0	0.6	1000	0.1	13.687	16.987	0.5	M4-1
48	178302	212334	24981846	24769512	178692	390	0.6	1000	0.1	13.687	16.987	0.5	M4-1
49	0	0	0	0	0	0	0.6	1000	0.1	13.687	16.987	0.5	M4-1
50	10	10	15	5	10	0	0.6	1000	0.1	13.687	16.987	0.5	M4-1
51	267688	270020	34283340	34013320	267697	9	0.6	1000	0.1	13.687	16.987	0.5	M4-1
52	0	0	0	0	0	0	0.6	1000	0.1	13.687	16.987	0.5	M4-1
53	0	0	1	1	0	0	0.6	1000	0.1	13.687	16.987	0.5	M4-1
54	240060	257003	26335653	26078650	240070	10	0.6	1000	0.1	13.687	16.987	0.5	M4-1
56	55	55	55	0	55	0	0.6	1000	0.1	13.687	16.987	0.5	M4-1
57	91412	92998	17307786	17214788	91424	12	0.6	1000	0.1	13.687	16.987	0.5	M4-1
58	0	0	0	0	0	0	0.6	1000	0.1	13.687	16.987	0.5	M4-1
60	172711	174264	15354111	15179847	172711	0	0.6	1000	0.1	13.687	16.987	0.5	M4-1
63	88681	90130	11987856	11897726	88723	42	0.6	1000	0.1	13.687	16.987	0.5	M4-1
65	0	0	0	0	0	0	0.6	1000	0.1	13.687	16.987	0.5	M4-1
66	188871	189660	8704878	8515218	188871	0	0.6	1000	0.1	13.687	16.987	0.5	M4-1
67	0	0	0	0	0	0	0.6	1000	0.1	13.687	16.987	0.5	M4-1
69	143924	148774	7634278	7485504	143924	0	0.6	1000	0.1	13.687	16.987	0.5	M4-1
72	1442620	1449473	11493615	10044142	1442621	1	0.6	1000	0.1	13.687	16.987	0.5	M4-1
73	1	1	1	0	1	0	0.6	1000	0.1	13.687	16.987	0.5	M4-1
75	18190	18309	962578	944269	18190	0	0.6	1000	0.1	13.687	16.987	0.5	M4-1
78	12173	12247	451725	439478	12173	0	0.6	1000	0.1	13.687	16.987	0.5	M4-1
81	1952	2002	126756	124754	1952	0	0.6	1000	0.1	13.687	16.987	0.5	M4-1
84	5572	5573	52650	47077	5572	0	0.6	1000	0.1	13.687	16.987	0.5	M4-1
